code,Publication
7OT, Seven OT                 
ADE, Andrade                  
 AP, Associated Press         
ARG, ARGH                     
BBT, Baker Bradley-Terry      
BIH, Bihl                     
BUR, Burrus                   
BWE, B Wilson Empirical       
CNG, Cheong                   
COL, Colley                   
CRO, Crotistics               
DAV, Davis                    
 DC, Dance Card               
DC2, Daniel Curry 2           
DCI, Daniel Curry Index       
DDB, Deep Dribble             
DES, DeSimone                 
DII, Donchess Inference       
DOK, Dokter Entropy           
DOL, Dolphin                  
DUN, Dunkel                   
EBP, ESPN BPI                 
ESR, ESPN SOR                 
FAS, Ford AMSTS               
FMG, Fleming                  
FSH, Forseth ERFunction       
HAS, Haslametrics             
HKB, Adjusted Stats EWP       
HKS, Hawklytics               
INP, InPredictable            
JNG, Joby Nitty Gritty        
JRT, Jarratt                  
KPI, KPI Sports               
KPK, Kirkpatrick              
KRA, Krach                    
LMC, LRMC                     
MAS, Massey                   
MCL, McLay LMLRMC             
MOR, Moore                    
MUZ, Matchup Zone             
NOL, Nolan                    
OCT, Octonion                 
PGH, Pugh                     
PIG, Pigskin                  
PMC, Pred Machine             
POM, Pomeroy                  
PRR, Peer Rankings            
REW, Rewards                  
RPI, RPI                      
RSL, Rissler                  
 RT, RoundTable               
RTH, Rothman                  
RTP, RT Power                 
SAG, Sagarin                  
SEL, Self                     
SFX, Stat Fox                 
SGR, Singer                   
SMN, Seed Madness             
SMS, Simmons                  
 SP, Sagarin Predictor        
SPR, Sports Ratings           
SPW, Snapper's World          
STH, Sport Theory             
TPR, The Power Rank           
TRK, T-Rank                   
TRP, TeamRankings Pred        
USA, USA Today Coaches        
WIL, Wilson                   
WLK, Whitlock                 
WOB, Wobus                    
WOL, Wolfe                    
YAG, Yale USAG                
ZAM, Zamstat                  
